Asperger综合征	zhengzhuang/aspergerzhz/
行为紊乱而奇特	zhengzhuang/xwwleqt/
行为无计划性	zhengzhuang/xwwjhx/
行走踩棉花感	zhengzhuang/xzcmhg/
行走呈大步态	zhengzhuang/xzcdbt/
行走后小腿肌肉痉挛	zhengzhuang/xzhxtjrjl/
行走时发生腓肠肌麻木	zhengzhuang/xzsfsfcjmm/
醒后不解乏	zhengzhuang/xhbjf/
性倒错	zhengzhuang/xdc/
性发育慢	zhengzhuang/xfym/
性发育停顿	zhengzhuang/xfytd/
性感不快	zhengzhuang/xgbk/
性交困难	zhengzhuang/xjkn/
性交疼痛	zhengzhuang/xjtt/
性施虐癖	zhengzhuang/xsnp/
性受虐癖	zhengzhuang/xsnp_5236/
性腺发育不良	zhengzhuang/xxfybl/
性心理不成熟	zhengzhuang/xxlbcs/
性兴趣减退感	zhengzhuang/xxqjtg/
性欲减退	zhengzhuang/xyjt/
性欲亢进	zhengzhuang/xykj/
性早熟	zhengzhuang/xzs/
性窒息	zhengzhuang/xzx/
胸壁浸润	zhengzhuang/xbjr/
胸壁塌陷	zhengzhuang/xbtx/
胸壁疼痛	zhengzhuang/xbtt/
胸壁血管充盈	zhengzhuang/xbxgcy/
胸部长痘	zhengzhuang/xbcd_5248/
胸部沉重感	zhengzhuang/xbczg/
胸部挫伤	zhengzhuang/xbcs/
胸部大片斑块	zhengzhuang/xbdpbk/
胸部紧迫或束带感	zhengzhuang/xbjphsdg/
胸部下垂	zhengzhuang/xbxc/
胸部隐痛	zhengzhuang/xbyt/
胸部有过度回响	zhengzhuang/xbygdhx/
胸大肌痛	zhengzhuang/xdjt/
胸大肌外侧缘处如花生米大小的肿块	zhengzhuang/xdjwcycrhsmdxdzk/
胸腹壁浅在条索伴疼痛或牵扯痛	zhengzhuang/xfbqztsbtthqct/
胸腹部畸形	zhengzhuang/xfbjx/
胸腹呈矛盾运动	zhengzhuang/xfcmdyd/
胸膈间烧灼嘈杂感	zhengzhuang/xgjszczg/
胸骨后烧灼样痛	zhengzhuang/xghszyt/
胸骨后疼痛	zhengzhuang/xghtt/
胸骨后异物阻塞感及隐痛	zhengzhuang/xghywzsgjyt/
胸骨裂	zhengzhuang/xgl/
胸骨隆凸	zhengzhuang/xglt/
胸骨下端压痛	zhengzhuang/xgxdyt/
胸骨压痛	zhengzhuang/xgyt/
胸肌萎缩	zhengzhuang/xjws/
胸降主动脉严重狭窄	zhengzhuang/xjzdmyzxz/
胸口紧绷	zhengzhuang/xkjb/
胸口闪电疼痛	zhengzhuang/xksdtt/
胸廓畸形	zhengzhuang/xkjx/
胸廓塌陷畸形	zhengzhuang/xktxjx/
胸廓狭窄而扁	zhengzhuang/xkxzeb/
胸廓异常	zhengzhuang/xkyc/
胸闷	zhengzhuang/xm_5277/
胸闷憋气	zhengzhuang/xmbq/
胸膜肥厚	zhengzhuang/xmfh/
胸膜钙化	zhengzhuang/xmgh/
胸膜毛细血管通透性增加	zhengzhuang/xmmxxgttxzj/
胸膜摩擦音	zhengzhuang/xmmcy/
胸膜休克	zhengzhuang/xmxk/
胸膜增厚	zhengzhuang/xmzh/
胸膜增厚粘连	zhengzhuang/xmzhzl/
胸膜粘连	zhengzhuang/xmzl/
胸膜转移	zhengzhuang/xmzy/
胸片示肺内孤立结节	zhengzhuang/xpsfngljj/
胸腔出口综合征	zhengzhuang/xqckzhz/
胸腔积液	zhengzhuang/xqjy/
胸式呼吸	zhengzhuang/xshx/
胸水	zhengzhuang/xs_5292/
胸锁乳突肌附着处压痛	zhengzhuang/xsrtjfzcyt/
胸痛	zhengzhuang/xt_5294/
胸痛伴呼吸困难	zhengzhuang/xtbhxkn/
胸痛伴冷汗	zhengzhuang/xtblh/
胸痛伴胸闷、心悸	zhengzhuang/xtbxm_xj/
胸腺高度萎缩	zhengzhuang/xxgdws/
胸腺缺如	zhengzhuang/xxqr/
胸腰段背部或臀部的疼痛	zhengzhuang/xydbbhtbdtt/
胸腰驼背	zhengzhuang/xytb/
胸腰椎损伤	zhengzhuang/xyzss/
胸腰椎压缩性骨折	zhengzhuang/xyzysxgz/
胸椎侧弯	zhengzhuang/xzcw/
胸椎畸形	zhengzhuang/xzjx_5305/
胸椎疼痛	zhengzhuang/xztt/
胸椎腰化	zhengzhuang/xzyh/
雄激素过多	zhengzhuang/xjsgd/
雄激素过少	zhengzhuang/xjsgs/
雄激素依赖	zhengzhuang/xjsyl/
熊猫眼	zhengzhuang/xmy_5311/
休克	zhengzhuang/xk/
休克较久后的肺部病变	zhengzhuang/xkjjhdfbbb/
休克性神经受累	zhengzhuang/xkxsjsl/
溴磺酞排泄延迟	zhengzhuang/xhtpxyc/
溴疹	zhengzhuang/xz/
虚汗	zhengzhuang/xh_5317/
虚火	zhengzhuang/xh_5318/
虚脉	zhengzhuang/xm_5319/
虚热口臭	zhengzhuang/xrkc/
虚脱	zhengzhuang/xt_5321/
嗅觉倒错	zhengzhuang/xjdc/
嗅觉过敏	zhengzhuang/xjgm/
嗅觉丧失	zhengzhuang/xjss/
嗅觉障碍	zhengzhuang/xjza/
悬垂型心脏	zhengzhuang/xcxxz/
悬雍垂松弛细长	zhengzhuang/xycscxc/
旋转性眩晕	zhengzhuang/xzxxy/
选择性缄默症	zhengzhuang/xzxjmz/
眩晕	zhengzhuang/xy/
学习困难	zhengzhuang/xxkn/
学习障碍	zhengzhuang/xxza/
血沉增快	zhengzhuang/xczk/
血沉增速	zhengzhuang/xczs/
血道播散	zhengzhuang/xdbs/
血睾酮降低	zhengzhuang/xgtjd/
血骨髓或痰涂片找到疟原虫	zhengzhuang/xgshttpzdnyc/
血管壁变薄	zhengzhuang/xgbbb/
血管壁及周围有Ig及补体沉着	zhengzhuang/xgbjzwyigjbtcz/
血管搏动或波形的改变	zhengzhuang/xgbdhbxdgb/
血管过敏性炎症	zhengzhuang/xggmxyz/
血管畸形	zhengzhuang/xgjx/
血管迷走性晕厥	zhengzhuang/xgmzxyj/
血管内凝血	zhengzhuang/xgnnx/
血管伤	zhengzhuang/xgs/
血管神经性水肿	zhengzhuang/xgsjxsz/
血管舒张性虚脱	zhengzhuang/xgszxxt/
血管萎缩性白斑	zhengzhuang/xgwsxbb/
血管性痴呆	zhengzhuang/xgxcd/
血管性水肿	zhengzhuang/xgxsz/
血管性头痛	zhengzhuang/xgxtt/
血管炎	zhengzhuang/xgy/
血管硬化	zhengzhuang/xgyh/
血管杂音	zhengzhuang/xgzy/
血管增生	zhengzhuang/xgzs_5355/
血管痣	zhengzhuang/xgz/
血红蛋白尿	zhengzhuang/xhdbn/
血痂	zhengzhuang/xj_5358/
血浆白蛋白降低	zhengzhuang/xjbdbjd/
血浆胆固醇水平高	zhengzhuang/xjdgcspg/
血精	zhengzhuang/xj_5361/
血离脉络	zhengzhuang/xlml/
血流不畅	zhengzhuang/xlbc/
血流动力学障碍	zhengzhuang/xldlxza/
血流阻力增加	zhengzhuang/xlzlzj/
血脑屏障通透性高	zhengzhuang/xnpzttxg/
血尿	zhengzhuang/xn/
血尿伴蛋白尿	zhengzhuang/xnbdbn/
血尿伴排尿不畅	zhengzhuang/xnbpnbc/
血疱	zhengzhuang/xp/
血偏酸	zhengzhuang/xps/
血清HDL-C水平减低	zhengzhuang/xqhdl_cspjd/
血清TG水平升高	zhengzhuang/xqtgspsg/
血清睾酮浓度低下	zhengzhuang/xqgtnddx/
血清睾酮浓度明显升高	zhengzhuang/xqgtndmxsg/
血清甲胎蛋白升高	zhengzhuang/xqjtdbsg/
血清碱性磷酸酶活性增高	zhengzhuang/xqjxlsmhxzg/
血清碱性磷酸酶可呈进行性增高	zhengzhuang/xqjxlsmkcjxxzg/
血清降钙素水平增高	zhengzhuang/xqjgsspzg/
血清抗GBM抗体阳性	zhengzhuang/xqkgbmktyx/
血清酶学改变	zhengzhuang/xqmxgb/
血清免疫球蛋白可升高	zhengzhuang/xqmyqdbksg/
血清钠增高	zhengzhuang/xqnzg/
血清铜氧化酶吸光度降低	zhengzhuang/xqtyhmxgdjd/
血清中高水平的谷草转氨酶(AST)	zhengzhuang/xqzgspdgczam_ast_/
血缺氧	zhengzhuang/xqy/
血热	zhengzhuang/xr_5387/
血栓后综合征	zhengzhuang/xshzhz/
血栓肌化	zhengzhuang/xsjh/
血栓扩展	zhengzhuang/xskz/
血栓脱落	zhengzhuang/xstl/
血栓外痔	zhengzhuang/xswz/
血栓性赘生物	zhengzhuang/xsxzsw/
血丝痰	zhengzhuang/xst/
血糖升高	zhengzhuang/xtsg/
血糖值升高	zhengzhuang/xtzsg/
血吸虫导致的肝硬化	zhengzhuang/xxcdzdgyh/
血象异常	zhengzhuang/xxyc/
血小板减少	zhengzhuang/xxbjs/
血小板减少性紫癜	zhengzhuang/xxbjsxzd/
血小板聚集增强	zhengzhuang/xxbjjzq/
血小板寿命缩短	zhengzhuang/xxbsmsd/
血小板增多	zhengzhuang/xxbzd/
血性恶露	zhengzhuang/xxel/
血性恶露持续时间延长	zhengzhuang/xxelcxsjyc/
血性耳分泌物	zhengzhuang/xxefmw/
血性耳漏	zhengzhuang/xxel_5407/
血性腹水	zhengzhuang/xxfs/
血性渗液	zhengzhuang/xxsy/
血性胸水	zhengzhuang/xxxs/
血胸	zhengzhuang/xx/
血虚	zhengzhuang/xx_5412/
血压波动大	zhengzhuang/xybdd/
血压偏低	zhengzhuang/xypd/
血压为零	zhengzhuang/xywl/
血压下降	zhengzhuang/xyxj/
血液呈现浓缩	zhengzhuang/xycxns/
血液改变	zhengzhuang/xygb/
血液粘度增高	zhengzhuang/xyzdzg/
血液粘滞度增高	zhengzhuang/xyzzdzg/
血瘀体质	zhengzhuang/xytz/
血运障碍	zhengzhuang/xyza/
血脂异常	zhengzhuang/xzyc/
血中钙离子过高	zhengzhuang/xzglzgg/
血肿形成	zhengzhuang/xzxc/
循环衰竭	zhengzhuang/xhsj/
一侧胸廓塌陷	zhengzhuang/ycxktx/
“鸭步”步态	zhengzhuang/_yb_bt/
“猿手”畸形	zhengzhuang/_ys_jx/
Y-现象和菱形现象	zhengzhuang/y_xxhlxxx/
匙状指（趾）	zhengzhuang/czz_z__5431/
烦渴多饮	zhengzhuang/fkdy/
剧烈运动后哮喘	zhengzhuang/jlydhxc/
前胸压迫性疼痛	zhengzhuang/qxypxtt/
乳糜泻	zhengzhuang/rmx_5435/
吮乳困难	zhengzhuang/srkn/
涎瘘	zhengzhuang/xl/
胸段或腰段脊髓伤	zhengzhuang/xdhydjss/
胸腰段及腰椎前凸消失	zhengzhuang/xydjyzqtxs/
压力和体位性多汗	zhengzhuang/ylhtwxdh/
压迫瘘口试验	zhengzhuang/yplksy/
压缩型骨折	zhengzhuang/ysxgz/
牙槽突型	zhengzhuang/yctx/
牙齿呈黄色浅灰色或深灰色	zhengzhuang/ycchsqhshshs/
牙齿呈棕黑色	zhengzhuang/ycczhs/
牙齿臭	zhengzhuang/ycc/
牙齿发黄	zhengzhuang/ycfh/
牙齿缝隙大	zhengzhuang/ycfxd/
牙齿黑斑	zhengzhuang/ychb/
牙齿较小呈半透明状	zhengzhuang/ycjxcbtmz/
牙齿结构异常	zhengzhuang/ycjgyc/
牙齿颈部黄斑	zhengzhuang/ycjbhb/
牙齿萌出疼痛	zhengzhuang/ycmctt/
牙齿萌出异常	zhengzhuang/ycmcyc/
牙齿上白垩色到褐色的斑块	zhengzhuang/ycsbesdhsdbk/
牙齿数目不足	zhengzhuang/ycsmbz/
牙齿数目过剩	zhengzhuang/ycsmgs/
牙齿松动和脱落	zhengzhuang/ycsdhtl/
牙齿小而稀疏	zhengzhuang/ycxexs/
牙齿小且无光泽	zhengzhuang/ycxqwgz/
牙齿形态异常	zhengzhuang/ycxtyc/
牙齿颜色异常	zhengzhuang/ycysyc/
牙齿咬合无力	zhengzhuang/ycyhwl/
牙齿异常	zhengzhuang/ycyc/
牙齿拥挤错位排列不齐	zhengzhuang/ycyjcwplbq/
牙齿遇冷热痛	zhengzhuang/ycylrt/
牙的咀嚼磨损	zhengzhuang/ydjjms/
牙缝增宽	zhengzhuang/yfzk/
牙根外露	zhengzhuang/ygwl/
牙关紧闭	zhengzhuang/ygjb/
牙冠呈半透明乳光色	zhengzhuang/ygcbtmrgs/
牙列稀疏	zhengzhuang/ylxs/
牙列拥挤	zhengzhuang/ylyj/
牙疼	zhengzhuang/yt/
牙体损伤	zhengzhuang/ytss/
牙痛	zhengzhuang/yt_5476/
牙脱位	zhengzhuang/ytw/
牙移位	zhengzhuang/yyw/
牙龈出血	zhengzhuang/yycx/
牙龈上发生黑线	zhengzhuang/yysfshx/
牙龈深红或暗红色	zhengzhuang/yyshhahs/
牙龈痛	zhengzhuang/yyt/
牙龈萎缩	zhengzhuang/yyws/
牙龈痒胀	zhengzhuang/yyyz/
牙龈肿胀	zhengzhuang/yyzz/
牙有伸长感及触痛	zhengzhuang/yyscgjct/
牙釉质腐蚀	zhengzhuang/yyzfs/
牙周袋形成	zhengzhuang/yzdxc/
疋氏（Pickweckian）综合征	zhengzhuang/ys_pickweckian_zhz/
咽部充血	zhengzhuang/ybcx/
咽部和喉部危象	zhengzhuang/ybhhbwx/
咽部肌肉运动障碍	zhengzhuang/ybjrydza/
咽部溃疡	zhengzhuang/ybky/
咽部慢性充血	zhengzhuang/ybmxcx/
咽部苹果酱样结节	zhengzhuang/ybpgjyjj/
咽部异物感	zhengzhuang/ybywg/
咽部有散在灰白色丘疱疹	zhengzhuang/ybyszhbsqpz/
咽部有异物感	zhengzhuang/ybyywg/
咽部粘膜弥漫充血	zhengzhuang/ybzmmmcx/
咽部灼热疼痛	zhengzhuang/ybzrtt/
咽反射	zhengzhuang/yfs/
咽反射亢进	zhengzhuang/yfskj/
咽反射消失	zhengzhuang/yfsxs/
咽鼓管堵塞	zhengzhuang/yggds/
咽喉部充血	zhengzhuang/yhbcx/
咽喉部干燥刺痒	zhengzhuang/yhbgzcy/
咽喉干燥充血	zhengzhuang/yhgzcx/
咽喉干燥及灼热感	zhengzhuang/yhgzjzrg/
咽喉及口内刺痒	zhengzhuang/yhjkncy/
咽喉疼痛	zhengzhuang/yhtt/
咽喉炎	zhengzhuang/yhy/
咽颊部烧伤	zhengzhuang/yjbss/
咽痛	zhengzhuang/yt_5513/
咽炎、舌炎、龈炎	zhengzhuang/yy_sy_yy/
咽异感症	zhengzhuang/yygz/
烟酸缺乏	zhengzhuang/ysqf/
延髓出血	zhengzhuang/yscx/
延髓性麻痹	zhengzhuang/ysxmb/
严重腹腔感染	zhengzhuang/yzfqgr/
严重急性呼吸道症	zhengzhuang/yzjxhxdz/
严重情绪障碍	zhengzhuang/yzqxza/
严重性假肥大型营养不良症	zhengzhuang/yzxjfdxyyblz/
言语凌乱	zhengzhuang/yyll/
言语紊乱	zhengzhuang/yywl/
言语增多	zhengzhuang/yyzd/
言语中断	zhengzhuang/yyzd_5526/
言语自动症	zhengzhuang/yyzdz/
炎性损害	zhengzhuang/yxsh/
炎性外痔	zhengzhuang/yxwz/
炎性细胞浸润	zhengzhuang/yxxbjr/
盐类皮质激素分泌过多	zhengzhuang/ylpzjsfmgd/
盐类皮质激素分泌过少	zhengzhuang/ylpzjsfmgs/
颜面潮红	zhengzhuang/ymch/
颜面充血呈樱桃红色	zhengzhuang/ymcxcyths/
颜面的火焰状母斑	zhengzhuang/ymdhyzmb/
颜面发红紫色	zhengzhuang/ymfhzs/
颜面受累时褶皱加深形成“狮面”	zhengzhuang/ymslszzjsxc_sm_/
眼白出现红点	zhengzhuang/ybcxhd/
眼白发红	zhengzhuang/ybfh/
眼白发黄	zhengzhuang/ybfh_5540/
眼白过白	zhengzhuang/ybgb/
眼白蓝灰色或黑色斑点	zhengzhuang/yblhshhsbd/
眼部感染	zhengzhuang/ybgr/
眼部烧伤感	zhengzhuang/ybssg/
眼部胀痛	zhengzhuang/ybzt/
眼充血	zhengzhuang/ycx/
眼底出血和渗出	zhengzhuang/ydcxhsc/
眼底点状或火焰状出血	zhengzhuang/yddzhhyzcx/
眼底发现黄斑呈带灰色变色	zhengzhuang/ydfxhbcdhsbs/
眼底改变	zhengzhuang/ydgb/
眼底黄斑部的樱桃红斑点	zhengzhuang/ydhbbdythbd/
眼底无红光反射	zhengzhuang/ydwhgfs/
眼底异常	zhengzhuang/ydyc/
眼底樱桃红斑	zhengzhuang/ydythb/
眼发胀、发干	zhengzhuang/yfz_fg/
眼干	zhengzhuang/yg/
眼干涩酸胀，易疲劳	zhengzhuang/ygssz_ypl/
眼花	zhengzhuang/yh/
眼肌麻痹	zhengzhuang/yjmb/
眼肌瘫痪	zhengzhuang/yjth/
眼睑闭合不全	zhengzhuang/yjbhbq/
眼睑部有明显的刺痒感和烧灼感	zhengzhuang/yjbymxdcyghszg/
眼睑呈紫红色	zhengzhuang/yjczhs/
眼睑肥厚	zhengzhuang/yjfh/
眼睑浮肿	zhengzhuang/yjfz/
眼睑畸形	zhengzhuang/yjjx/
眼睑痉挛	zhengzhuang/yjjl/
眼睑脓肿	zhengzhuang/yjnz/
眼睑松弛	zhengzhuang/yjsc/
眼睑松弛和上唇增厚	zhengzhuang/yjschsczh/
眼睑外翻	zhengzhuang/yjwf/
眼睑下垂	zhengzhuang/yjxc/
眼睑异物	zhengzhuang/yjyw/
眼睑震颤	zhengzhuang/yjzc/
眼睑肿胀且呈淡绿色	zhengzhuang/yjzzqcdls/
眼角长斑	zhengzhuang/yjcb/
眼角膜反射消失	zhengzhuang/yjmfsxs/
眼结膜黑变	zhengzhuang/yjmhb/
眼结膜上出现瘀点	zhengzhuang/yjmscxyd/
眼结膜水肿及角膜溃疡	zhengzhuang/yjmszjjmky/
眼晶体前房棕色光反射	zhengzhuang/yjtqfzsgfs/
眼睛刺痛	zhengzhuang/yjct/
眼睛发红	zhengzhuang/yjfh_5583/
眼睛痒	zhengzhuang/yjy/
眼距宽阔	zhengzhuang/yjkk/
眼眶内持续性、针刺或撕扯样痛	zhengzhuang/ykncxx_zchscyt/
眼眶缩小	zhengzhuang/yksx/
眼眶疼痛	zhengzhuang/yktt/
眼眶异物	zhengzhuang/ykyw/
眼裂歪斜	zhengzhuang/ylwx/
眼裂细小	zhengzhuang/ylxx/
眼面痛	zhengzhuang/ymt/
眼内有异物感	zhengzhuang/ynyywg/
眼皮跳	zhengzhuang/ypt/
眼皮下垂	zhengzhuang/ypxc/
眼疲劳	zhengzhuang/ypl/
眼前发黑	zhengzhuang/yqfh/
眼前黑影	zhengzhuang/yqhy/
眼前冒火花或眼前闪光	zhengzhuang/yqmhhhyqsg/
眼前冒金花	zhengzhuang/yqmjh/
眼前冒紫烟	zhengzhuang/yqmzy/
眼前异常闪光，增加的黑点	zhengzhuang/yqycsg_zjdhd/
眼球斑点	zhengzhuang/yqbd/
眼球不能随意动	zhengzhuang/yqbnsyd/
眼球不同轴	zhengzhuang/yqbtz/
眼球穿孔	zhengzhuang/yqck/
眼球垂直运动障碍	zhengzhuang/yqczydza/
眼球挫伤	zhengzhuang/yqcs/
眼球调节功能减退或消失	zhengzhuang/yqdjgnjthxs/
眼球浮动现象	zhengzhuang/yqfdxx/
眼球会聚功能麻痹或痉挛	zhengzhuang/yqhjgnmbhjl/
眼球内积脓而失明	zhengzhuang/yqnjnesm/
眼球内陷	zhengzhuang/yqnx/
眼球内斜	zhengzhuang/yqnx_5614/
眼球偏斜	zhengzhuang/yqpx/
眼球上翻并固定	zhengzhuang/yqsfbgd/
眼球突出	zhengzhuang/yqtc/
眼球压痛	zhengzhuang/yqyt/
眼球移位	zhengzhuang/yqyw/
眼球运动偏斜扭转	zhengzhuang/yqydpxnz/
眼球震颤	zhengzhuang/yqzc/
眼缺陷	zhengzhuang/yqx/
眼色素膜炎	zhengzhuang/yssmy/
眼神异常	zhengzhuang/ysyc/
眼屎多	zhengzhuang/ysd/
眼痛	zhengzhuang/yt_5626/
眼-头反射消失	zhengzhuang/y_tfsxs/
眼外肌运动无力	zhengzhuang/ywjydwl/
眼外转移	zhengzhuang/ywzy/
眼旋转	zhengzhuang/yxz/
眼压升高	zhengzhuang/yysg/
眼压突然迅速升高	zhengzhuang/yytrxssg/
眼张不开	zhengzhuang/yzbk/
眼胀	zhengzhuang/yz/
眼嘴的细小皱纹	zhengzhuang/yzdxxzw/
厌奶	zhengzhuang/yn/
厌食	zhengzhuang/ys/
羊膜腔感染	zhengzhuang/ymqgr/
羊水粪染	zhengzhuang/ysfr/
羊水过多	zhengzhuang/ysgd/
羊水血性	zhengzhuang/ysxx/
羊水中回声增强增多	zhengzhuang/yszhszqzd/
羊水中有胎粪	zhengzhuang/yszytf/
阳盛体质	zhengzhuang/ystz/
阳虚体质	zhengzhuang/yxtz/
阳虚胃痛	zhengzhuang/yxwt/
杨梅样舌	zhengzhuang/ymys/
仰颈时吞咽困难	zhengzhuang/yjstykn/
仰卧呼吸	zhengzhuang/ywhx/
仰趾外翻	zhengzhuang/yzwf/
氧分压低	zhengzhuang/yfyd/
腰背部窦道	zhengzhuang/ybbdd/
腰背部有皮毛窦	zhengzhuang/ybbypmd/
腰背刺痛	zhengzhuang/ybct/
腰背的持续隐痛	zhengzhuang/ybdcxyt/
腰背酸痛	zhengzhuang/ybst/
腰背痛	zhengzhuang/ybt/
腰部包块	zhengzhuang/ybbk/
腰部的不稳交锁现象	zhengzhuang/ybdbwjsxx/
腰部钝痛	zhengzhuang/ybdt/
腰部缓慢增大的软肿块	zhengzhuang/ybhmzddrzk/
腰部僵硬及腰前凸消失	zhengzhuang/ybjyjyqtxs/
腰部僵直感	zhengzhuang/ybjzg/
腰部酸胀及无力	zhengzhuang/ybszjwl/
腰长骨刺	zhengzhuang/ycgc/
腰大肌痉挛	zhengzhuang/ydjjl/
腰大肌脓肿	zhengzhuang/ydjnz/
腰大肌阴影消失	zhengzhuang/ydjyyxs/
腰大肌肿胀	zhengzhuang/ydjzz/
腰骶部或下腰部疼痛	zhengzhuang/ydbhxybtt/
腰骶部皮肤多毛、异常色素沉着	zhengzhuang/ydbpfdm_ycsscz/
腰骶部酸痛	zhengzhuang/ydbst/
腰骶疼痛	zhengzhuang/ydtt/
腰肌痉挛	zhengzhuang/yjjl_5674/
腰脊椎疼痛	zhengzhuang/yjztt/
腰软不能直起	zhengzhuang/yrbnzq/
腰酸	zhengzhuang/ys_5677/
腰酸背痛	zhengzhuang/ysbt/
腰痛伴尿频、尿急、尿痛	zhengzhuang/ytbnp_nj_nt/
腰痛伴肾区叩击痛	zhengzhuang/ytbsqkjt/
腰痛卧床加重	zhengzhuang/ytwcjz/
腰臀部广泛性疼痛并向下放射	zhengzhuang/ytbgfxttbxxfs/
腰膝酸软	zhengzhuang/yxsr/
腰椎不稳	zhengzhuang/yzbw/
腰椎骶化	zhengzhuang/yzdh/
腰椎肥大	zhengzhuang/yzfd/
腰椎间盘突出	zhengzhuang/yzjptc/
腰椎膨出	zhengzhuang/yzpc/
腰椎退化	zhengzhuang/yzth/
腰椎椎管狭窄	zhengzhuang/yzzgxz/
摇摆步态	zhengzhuang/ybbt/
摇头转颈	zhengzhuang/ytzj/
咬合关系错乱	zhengzhuang/yhgxcl/
咬伤愈合的伤口出现痛痒或麻木	zhengzhuang/ysyhdskcxtyhmm/
咬痛	zhengzhuang/yt_5695/
咬指甲	zhengzhuang/yzj/
咬嘴唇或舌	zhengzhuang/yzchs/
药物过敏反应	zhengzhuang/ywgmfy/
药物性肥胖	zhengzhuang/ywxfp/
药物性水肿	zhengzhuang/ywxsz/
药物依赖	zhengzhuang/ywyl/
药物中毒	zhengzhuang/ywzd/
药疹	zhengzhuang/yz_5703/
耀光感	zhengzhuang/ygg/
噎痛感	zhengzhuang/ytg/
叶间裂常呈弧形下坠	zhengzhuang/yjlcchxxz/
叶间裂移位	zhengzhuang/yjlyw/
叶状脱色斑	zhengzhuang/yztsb/
夜间盗汗	zhengzhuang/yjdh/
夜间肩痛	zhengzhuang/yjjt/
夜间磨牙	zhengzhuang/yjmy/
夜间睡眠气短憋醒	zhengzhuang/yjsmqdbx/
夜间头痛	zhengzhuang/yjtt/
夜惊	zhengzhuang/yj/
夜盲	zhengzhuang/ym/
夜尿增多	zhengzhuang/ynzd/
夜游症	zhengzhuang/yyz/
液气胸	zhengzhuang/yqx_5718/
液体平衡失调	zhengzhuang/ytphsd/
腋部掌心出汗	zhengzhuang/ybzxch/
腋部肿块	zhengzhuang/ybzk/
腋毛变稀少	zhengzhuang/ymbxs/
腋毛和阴毛脱落	zhengzhuang/ymhymtl/
腋毛毛干上有微小结节	zhengzhuang/ymmgsywxjj/
腋区疼痛	zhengzhuang/yqtt/
腋窝多汗	zhengzhuang/ywdh/
腋窝痛	zhengzhuang/ywt/
腋窝有异味	zhengzhuang/ywyyw/
腋下淋巴肿大	zhengzhuang/yxlbzd/
一侧乳头萎缩，另侧水肿	zhengzhuang/ycrtws_lcsz/
一侧下腹坠痛	zhengzhuang/ycxfzt/
一侧性下腹剧烈疼痛	zhengzhuang/ycxxfjltt/
一侧颜面肥大	zhengzhuang/ycymfd/
一侧腰腹突发“刀割”样绞痛	zhengzhuang/ycyftf_dg_yjt/
一侧阴囊内逐渐增大的无痛性肿块	zhengzhuang/ycynnzjzddwtxzk/
一过性的流感样症状	zhengzhuang/ygxdlgyzz/
一过性红斑狼疮样	zhengzhuang/ygxhblcy/
一过性昏厥	zhengzhuang/ygxhj/
一过性脑缺血	zhengzhuang/ygxnqx/
一过性尿蛋白	zhengzhuang/ygxndb/
一过性全面性遗忘	zhengzhuang/ygxqmxyw/
一过性肉眼血尿	zhengzhuang/ygxryxn/
一过性心尖部收缩期杂音	zhengzhuang/ygxxjbssqzy/
一过性意识蒙眬	zhengzhuang/ygxysml/
一咳嗽胸口就疼	zhengzhuang/yksxkjt/
一时性便秘	zhengzhuang/ysxbm/
一氧化碳中毒	zhengzhuang/yyhtzd/
依赖公式化	zhengzhuang/ylgsh/
依赖症	zhengzhuang/ylz/
胰岛细胞破坏	zhengzhuang/ydxbph/
胰酶分泌或排出量降低	zhengzhuang/ymfmhpcljd/
胰石阻塞	zhengzhuang/yszs/
胰腺功能不足	zhengzhuang/yxgnbz/
胰腺内钙化	zhengzhuang/yxngh/
胰腺外分泌功能不良	zhengzhuang/yxwfmgnbl/
胰腺纤维化	zhengzhuang/yxxwh/
胰源性腹痛	zhengzhuang/yyxft/
移动性浊音	zhengzhuang/ydxzy/
移行病变	zhengzhuang/yxbb/
遗传性出血性毛细血管扩张症	zhengzhuang/ycxcxxmxxgkzz/
遗传性肥胖	zhengzhuang/ycxfp/
遗传性果糖不耐受	zhengzhuang/ycxgtbns/
遗精	zhengzhuang/yj_5763/
遗尿	zhengzhuang/yn_5764/
疑病症	zhengzhuang/ybz/
乙肝e抗体（抗HBe）阳性	zhengzhuang/ygekt_khbe_yx/
乙肝e抗原（HBeAg）阳性	zhengzhuang/ygeky_hbeag_yx/
乙肝表面抗体（抗HBs）阳性	zhengzhuang/ygbmkt_khbs_yx/
乙肝表面抗原（HBsAg）阳性	zhengzhuang/ygbmky_hbsag_yx/
以偷窥为快感源泉的性变态	zhengzhuang/ytkwkgyqdxbt/
以头昏为主的眩晕	zhengzhuang/ythwzdxy/
蚁走感	zhengzhuang/yzg/
异常矮小	zhengzhuang/ycax/
异常子宫出血	zhengzhuang/yczgcx/
异常粗大的舞蹈样动作	zhengzhuang/yccddwdydz/
异常高大	zhengzhuang/ycgd/
异常体位所致的窒息	zhengzhuang/yctwszdzx/
异常鱼鳞癣	zhengzhuang/ycylx/
异食癖	zhengzhuang/ysp/
异嗜酸癖	zhengzhuang/yssp/
异位钙化	zhengzhuang/ywgh/
异位妊娠	zhengzhuang/ywrs/
异位性心动过速	zhengzhuang/ywxxdgs/
异型网织细胞	zhengzhuang/yxwzxb/
异性蛋白反应	zhengzhuang/yxdbfy/
