百日咳	brk/
小儿血管瘤	xexgl/
小儿血管瘤血小板减少综合征	xexglxxbjszhz/
小儿血管免疫母细胞淋巴结病	xexgmymxblbjb/
小儿血管网状细胞瘤	xexgwzxbl/
小儿血管性血友病	xexgxxyb/
小儿血清病	xexqb/
小儿血栓性血小板减少性紫癜	xexsxxxbjsxzd/
小儿血小板释放功能缺陷性疾患	xexxbsfgnqxxjh/
小儿血小板无力症	xexxbwlz/
小儿血友病	xexyb/
小儿牙本质生长不全综合征	xeybzscbqzhz/
小儿雅克什综合征	xeykszhz/
小儿雅司病	xeysb/
小儿亚急性骨髓炎	xeyjxgsy/
小儿亚急性甲状腺炎	xeyjxjzxy/
小儿亚硝酸盐中毒	xeyxsyzd/
小儿烟酸缺乏病	xeysqfb/
小儿烟雾病	xeywb/
小儿淹溺	xeyn/
小儿严重急性呼吸综合征	xeyzjxhxzhz/
小儿言语和语言障碍	xeyyhyyza/
小儿炎症性肠病	xeyzxcb/
小儿眼-耳-脊椎综合征	xey_e_jzzhz/
小儿眼-脑-肾综合征	xey_n_szhz/
小儿药物变态反应	xeywbtfy/
小儿药物性皮炎	xeywxpy/
小儿药物性肾损害	xeywxssh/
小儿药物诱发的溶血性贫血	xeywyfdrxxpx/
小儿叶酸缺乏病	xeysqfb_7778/
小儿一氧化碳中毒	xeyyhtzd/
小儿衣原体肺炎	xeyytfy/
小儿遗传性大疱性表皮松解症	xeycxdpxbpsjz/
小儿遗传性共济失调	xeycxgjsd/
小儿遗传性果糖不耐受	xeycxgtbns/
小儿遗传性痉挛性截瘫	xeycxjlxjt/
小儿遗传性口形细胞增多症	xeycxkxxbzdz/
小儿遗传性慢性进行性肾炎	xeycxmxjxxsy/
小儿遗传性球形红细胞增多症	xeycxqxhxbzdz/
小儿遗传性椭圆形红细胞增多症	xeycxtyxhxbzdz/
小儿遗传性血管神经性水肿	xeycxxgsjxsz/
小儿遗尿	xeyn_7790/
小儿乙型肝炎病毒相关肾炎	xeyxgybdxgsy/
小儿异染性脑白质营养不良	xeyrxnbzyybl/
小儿隐睾症	xeygz/
小儿营养不良性消瘦	xeyyblxxs/
小儿硬化性胆管炎	xeyhxdgy/
小儿硬脊膜外脓肿	xeyjmwnz/
小儿硬脑膜外脓肿	xeynmwnz/
小儿硬脑膜外血肿	xeynmwxz/
小儿硬脑膜下血肿	xeynmxxz/
小儿硬皮病	xeypb/
小儿幽门螺杆菌感染	xeymlgjgr/
小儿尤因肉瘤	xeyyrl/
小儿有机磷农药中毒	xeyjlnyzd/
小儿右肺中叶综合征	xeyfzyzhz/
小儿右室双出口	xeyssck/
小儿预激综合征	xeyjzhz/
小儿原发型肺结核	xeyfxfjh/
小儿原发性膀胱输尿管反流	xeyfxbgsngfl/
小儿原发性腹膜炎	xeyfxfmy/
小儿原发性甲状旁腺功能亢进症	xeyfxjzpxgnkjz/
小儿原发性免疫缺陷病	xeyfxmyqxb/
小儿原发性脑干损伤	xeyfxngss/
小儿原发性血小板增多症	xeyfxxxbzdz/
小儿远端肾小管酸中毒	xeydsxgszd/
小儿月经过多	xeyjgd/
小儿阅读障碍	xeydza/
小儿再发性腹痛	xezfxft/
小儿再发性呕吐	xezfxot/
小儿再生障碍性贫血	xezszaxpx/
小儿早老症	xezlz/
小儿粘连性肠梗阻	xezlxcgz/
小儿真菌感染性口炎	xezjgrxky/
小儿真菌性肺炎	xezjxfy/
小儿阵发性室上性心动过速	xezfxssxxdgs/
小儿阵发性室性心动过速	xezfxsxxdgs/
小儿阵发性睡眠性血红蛋白尿症	xezfxsmxxhdbnz/
小儿支气管肺发育不全	xezqgffybq/
小儿支气管肺炎	xezqgfy/
小儿支气管扩张	xezqgkz/
小儿支气管哮喘	xezqgxc/
小儿脂肪吸收不良	xezfxsbl/
小儿直肠脱垂	xezctc/
小儿指甲-髌骨综合征	xezj_bgzhz/
小儿致心律失常性右室心肌病	xezxlscxysxjb/
小儿中毒型痢疾	xezdxlj/
小儿中暑和暑热症	xezshsrz/
小儿重症肌无力	xezzjwl/
小儿周期性低血钾性麻痹	xezqxdxjxmb/
小儿周期性高血钾性麻痹	xezqxgxjxmb/
小儿周期性正常血钾性麻痹	xezqxzcxjxmb/
小儿周围淋巴结结核	xezwlbjjh/
小儿皱梅腹综合征	xezmfzhz/
小儿侏儒-视网膜萎缩-耳聋综合征	xezr_swmws_elzhz/
小儿珠蛋白生成障碍性贫血	xezdbsczaxpx/
小儿猪带绦虫病和囊虫病	xezdtcbhncb/
小儿注意缺陷障碍	xezyqxza/
小儿转移性骨肿瘤	xezyxgzl/
小儿椎管内肿瘤	xezgnzl/
小儿锥体功能不良综合征	xeztgnblzhz/
小儿紫斑湿疹综合征	xezbszzhz/
小儿自律性房性心动过速	xezlxfxxdgs/
小儿自身免疫性淋巴细胞增生综合征	xezsmyxlbxbzszhz/
小儿自身免疫性溶血性贫血	xezsmyxrxxpx/
小儿纵隔囊肿及肿瘤	xezgnzjzl/
小儿纵隔压迫综合征	xezgypzhz/
小儿阻塞性睡眠呼吸暂停	xezsxsmhxzt/
小儿柞蚕蛹性脑病综合征	xezcyxnbzhz/
小汗腺汗管纤维腺瘤	xhxhgxwxl/
小汗腺汗囊肿	xhxhnz/
小汗腺血管错构瘤	xhxxgcgl/
小汗腺痣	xhxz/
小颌畸形综合征	xhjxzhz/
小棘毛壅病	xjmyb/
小棘苔藓	xjtx/
小螺菌感染	xljgr/
小脑幕脑膜瘤	xnmnml/
小脑脑桥角脑膜瘤	xnnqjnml/
小提琴手颈部皮炎	xtqsjbpy/
小腿动脉损伤	xtdmss/
小腿红绀病	xthgb/
小网膜囊疝	xwmns/
心包内恶性畸胎瘤	xbnexjtl/
心包切开术后综合征	xbqkshzhz/
心包胸腺瘤	xbxxl/
心动过速性心肌病	xdgsxxjb/
心-耳综合征	x_ezhz/
心房颤动	xfcd/
心房内传导阻滞	xfncdzz/
心房内折返性心动过速	xfnzfxxdgs/
心房扑动	xfpd/
心肌桥	xjq/
心脏乳头样弹性纤维瘤	xzrtydxxwl/
心脏脂肪瘤	xzzfl/
心脏直视手术所致神经疾病	xzzsssszsjjb/
心脏骤停与心肺脑复苏	xzztyxfnfs/
心脏转移瘤	xzzyl/
心脏转移性恶性黑色素瘤	xzzyxexhssl/
锌及其化合物引起的皮肤病	xjqhhwyqdpfb_7888/
新生儿B链球菌感染	xseblqjgr/
新生儿Rh血型不合溶血病	xserhxxbhrxb/
新生儿Wilson-Mikity综合征	xsewilson_mikityzhz/
新生儿出血症	xsecxz/
新生儿单纯疱疹病毒感染	xsedcpzbdgr/
新生儿低钠血症	xsednxz/
新生儿低体温	xsedtw/
新生儿低血糖症	xsedxtz/
新生儿反应低下	xsefydx/
新生儿高血糖症	xsegxtz/
新生儿佝偻病	xseglb/
新生儿寒冷损伤综合征	xsehlsszhz/
新生儿红细胞增多症-高黏滞度综合征	xsehxbzdz_gnzdzhz/
新生儿喉喘鸣	xsehcm/
新生儿坏死性小肠结肠炎	xsehsxxcjcy/
新生儿急性肾功能衰竭	xsejxsgnsj/
新生儿柯萨奇病毒B感染	xseksqbdbgr/
新生儿泌尿系统感染	xsemnxtgr/
新生儿尿布皮炎	xsenbpy/
新生儿破伤风	xsepsf/
新生儿迁延性胆汁淤积性黄疸	xseqyxdzyjxhd/
新生儿青紫	xseqz/
新生儿生理性黄疸	xseslxhd/
新生儿失血性贫血	xsesxxpx/
新生儿头颅血肿	xsetlxz/
新生儿晚期代谢性酸中毒	xsewqdxxszd/
新生儿胃穿孔	xsewck/
新生儿先天性胆道闭锁	xsextxddbs/
新生儿先天性膈疝	xsextxgs/
新生儿先天性弓形体感染	xsextxgxtgr/
新生儿消化道重复症	xsexhdzfz/
新生儿心肌炎	xsexjy/
新生儿心律失常	xsexlsc/
新生儿休克	xsexk/
新生儿血小板减少性紫癜	xsexxbjsxzd/
新生儿咽下综合征	xseyxzhz/
新生儿衣原体感染	xseyytgr/
新生儿乙型肝炎	xseyxgy/
新生儿紫癜	xsezd/
新生血管性青光眼	xsxgxqgy/
新型隐球菌性脑膜炎	xxyqjxnmy/
星形病毒胃肠炎	xxbdwcy/
行军性血红蛋白尿	xjxxhdbn/
性病神经症	xbsjz/
性病相关性胃肠道感染	xbxgxwcdgr/
性厌恶	xye/
胸、腰椎椎体单纯性、楔形压缩骨折	x_yzztdcx_xxysgz/
胸壁骨肿瘤	xbgzl/
胸壁皮下气肿	xbpxqz/
胸壁软组织畸形	xbrzzjx/
胸壁软组织损伤	xbrzzss/
胸壁软组织肿瘤	xbrzzzl/
胸壁深部软组织感染	xbsbrzzgr/
胸部阿米巴病	xbambb/
胸部放线菌病	xbfxjb/
胸部丝虫病	xbscb/
胸长神经卡压症	xcsjkyz/
胸导管损伤	xdgss/
胸腹主动脉动脉瘤	xfzdmdml/
胸骨骨髓炎	xggsy/
胸内肾	xns/
胸内异物	xnyw/
胸腺癌	xxa_7951/
胸腺类癌	xxla/
胸腺小细胞癌	xxxxba/
胸椎后纵韧带骨化症	xzhzrdghz/
胸椎黄韧带骨化症	xzhrdghz/
胸椎间盘突出症	xzjptcz/
须疮	xc_7957/
须癣	xx_7958/
嗅沟脑膜瘤	xgnml/
嗅觉障碍	xjza/
眩晕	xy_7961/
学习技能发育障碍	xxjnfyza/
血管角化瘤	xgjhl/
血管球瘤	xgql/
血管损伤	xgss/
血管性痴呆	xgxcd/
血管性帕金森综合征	xgxpjszhz/
血管炎性周围神经病	xgyxzwsjb/
血管周细胞瘤	xgzxbl/
血红蛋白C病	xhdbcb/
血红蛋白D病	xhdbdb/
血红蛋白E病	xhdbeb/
血红蛋白M病	xhdbmb/
血栓性静脉炎	xsxjmy/
血栓性浅静脉炎	xsxqjmy/
血小板促凝活性异常	xxbcnhxyc/
血小板减少性紫癜	xxbjsxzd/
血小板型假性血管性血友病	xxbxjxxgxxyb/
血友病乙	xyby/
寻常痤疮	xccc/
寻常狼疮	xclc/
寻常性鱼鳞病	xcxylb/
寻常疣	xcy/
蕈样真菌病	xyzjb/
蕈样真菌病和Sezary综合征	xyzjbhsezaryzhz/
幼年型关节强硬性脊椎炎	ynxgjqyxjzy/
支气管发育不全	zqgfybq/
结节性液化性脂膜炎	jjxyhxzmy/
压力性尿失禁	ylxnsj/
亚急性联合变性	yjxlhbx/
亚急性皮肤红斑狼疮	yjxpfhblc/
亚急性硬化性全脑炎	yjxyhxqny/
亚急性硬膜外血肿	yjxymwxz/
亚临床甲状腺功能减退症	ylcjzxgnjtz/
亚临床甲状腺功能亢进	ylcjzxgnkj/
亚临床型克汀病	ylcxktb/
烟雾病	ywb/
延髓性麻痹	ysxmb/
严重肝病引起获得性凝血因子异常	yzgbyqhdxnxyzyc/
严重急性呼吸综合征	yzjxhxzhz/
言语障碍	yyza/
岩骨斜坡脑膜瘤	ygxpnml/
岩藻糖苷贮积症	yztgzjz/
炎性肠病性关节炎相关巩膜炎	yxcbxgjyxggmy/
炎性乳腺癌	yxrxa/
炎症后弹力纤维松解伴皮肤松弛	yzhdlxwsjbpfsc/
炎症后黑变病	yzhhbb/
炎症相关性青光眼	yzxgxqgy/
炎症性肠道疾病及其伴发的葡萄膜炎	yzxcdjbjqbfdptmy/
炎症性腹主动脉瘤	yzxfzdml/
盐敏感性高血压	ymgxgxy/
眼部神经纤维瘤病	ybsjxwlb/
眼部猪囊尾蚴病	ybznwyb/
眼底血管样条纹	ydxgytw/
眼弓蛔虫病	yghcb/
眼弓形体病	ygxtb/
眼肌麻痹性偏头痛	yjmbxptt/
眼假组织胞质菌病综合征	yjzzbzjbzhz/
眼睑基底细胞癌	yjjdxba/
眼睑痉挛-口下颏部肌张力障碍	yjjl_kxkbjzlza/
眼眶淀粉样变性	ykdfybx/
眼眶非霍奇金恶性淋巴瘤	ykfhqjexlbl/
眼眶非霍奇金恶性淋巴肿瘤	ykfhqjexlbzl/
眼眶蜂窝织炎	ykfwzy/
眼眶骨化纤维瘤	ykghxwl/
眼眶骨瘤	ykgl/
眼眶骨纤维异常增殖症	ykgxwyczzz/
眼眶畸胎瘤	ykjtl/
眼眶寄生虫囊肿	ykjscnz/
眼眶淋巴管瘤	yklbgl/
眼眶内海绵状血管瘤	yknhmzxgl/
眼眶内静脉曲张	yknjmqz/
眼眶脑膜-脑膨出	yknm_npc/
眼眶黏液囊肿	yknynz/
眼眶脓肿	yknz/
眼眶皮样囊肿	ykpynz/
眼眶平滑肌瘤	ykphjl/
眼眶神经纤维瘤	yksjxwl/
眼眶嗜酸性肉芽肿	ykssxryz/
眼眶纤维肉瘤	ykxwrl/
眼眶血管外皮瘤	ykxgwpl/
眼眶血肿	ykxz/
眼眶炎性假瘤	ykyxjl/
眼眶真菌病	ykzjb/
眼眶脂肪瘤	ykzfl/
眼眶脂肪肉瘤	ykzfrl/
眼眶转移性肿瘤	ykzyxzl/
眼类肉瘤病	ylrlb/
眼颧部褐蓝痣	yqbhlz/
眼外肌病及弱视	ywjbjrs/
眼外肌发育不全	ywjfybq/
眼外肌广泛纤维化综合征	ywjgfxwhzhz/
眼外肌外伤	ywjws/
眼外肌猪囊尾蚴病	ywjznwyb/
眼异物伤	yyws/
厌氧菌肺炎	yyjfy/
羊膜腔感染综合征	ymqgrzhz/
痒点	yd_8058/
痒性紫癜	yxzd_8059/
恙螨皮炎	ympy/
腰骶部脂肪疝	ydbzfs/
腰痛-血尿综合征	yt_xnzhz/
腰椎小关节不稳症	yzxgjbwz/
腰椎椎管狭窄症	yzzgxzz/
药物反应性甲病	ywfyxjb/
药物免疫性血小板减少性紫癜	ywmyxxxbjsxzd/
药物相关性免疫性溶血性贫血	ywxgxmyxrxxpx/
药物相关性青光眼	ywxgxqgy/
药物性狼疮	ywxlc/
夜间哮喘	yjxc/
一度房室传导阻滞	ydfscdzz/
伊藤痣	ytz/
衣原体尿路感染	yytnlgr/
医用药物中毒所致的精神障碍	yyywzdszdjsza/
医源性胆管损伤	yyxdgss/
医源性多毛症	yyxdmz/
医源性气管及主支气管损伤	yyxqgjzzqgss/
胰高糖素瘤综合征	ygtslzhz/
胰高血糖素瘤	ygxtsl/
胰瘘	yl_8080/
胰石病	ysb_8081/
胰腺假囊肿	yxjnz/
胰腺囊性纤维性变	yxnxxwxb/
胰腺真性囊肿	yxzxnz/
移行脊椎	yxjz/
移植后淋巴增殖性疾病	yzhlbzzxjb/
移植物抗宿主病	yzwkszb/
遗传性蛋白S缺陷症	ycxdbsqxz/
遗传性对称性色素异常症	ycxdcxssycz/
遗传性多发脑梗死性痴呆	ycxdfngsxcd/
遗传性多发性骨软骨瘤	ycxdfxgrgl/
遗传性耳瘘	ycxel/
遗传性粪卟啉病	ycxfblb/
遗传性感觉神经病	ycxgjsjb/
遗传性高尿酸血症	ycxgnsxz/
遗传性高铁血红蛋白血症	ycxgtxhdbxz/
遗传性抗凝血酶Ⅲ缺乏症	ycxknxm_qfz/
遗传性良性上皮内角化不良	ycxlxspnjhbl/
遗传性凝血酶原缺乏	ycxnxmyqf/
遗传性凝血因子Ⅴ缺乏症	ycxnxyz_qfz/
遗传性凝血因子Ⅶ缺乏	ycxnxyz_qf/
遗传性凝血因子ⅩⅢ缺乏	ycxnxyz__qf/
遗传性凝血因子Ⅹ缺乏	ycxnxyz_qf_8103/
遗传性凝血因子Ⅺ缺乏	ycxnxyz_qf_8104/
遗传性球形红细胞增多症	ycxqxhxbzdz/
遗传性铁粒幼细胞性贫血	ycxtlyxbxpx/
遗传性椭圆形红细胞增多症	ycxtyxhxbzdz/
遗传性纤维蛋白原缺乏症	ycxxwdbyqfz/
遗传性异常纤维蛋白原血症	ycxycxwdbyxz/
遗传性硬化性皮肤异色症	ycxyhxpfysz/
遗传性运动失调性多发性神经炎	ycxydsdxdfxsjy/
乙型肝炎病毒相关性肾炎	yxgybdxgxsy/
乙型肝炎病毒性关节炎	yxgybdxgjy/
乙型肝炎抗原血症	yxgykyxz/
乙状结肠扭转	yzjcnz/
乙状结肠造口旁沟疝	yzjczkpgs/
异常γ-球蛋白血症	yc_qdbxz/
异色性虹膜睫状体炎	ysxhmjzty/
异物伤	yws_8119/
异物性食管穿孔	ywxsgck/
阴部神经干痛	ybsjgt/
阴道白斑	ydbb/
阴道壁息肉	ydbxr/
阴道恶性苗勒管混合瘤	ydexmlghhl/
阴道鳞状上皮癌	ydlzspa/
阴道蚂蟥叮吸	ydmhdx/
阴道内胚窦瘤	ydnpdl/
阴道平滑肌肉瘤	ydphjrl/
阴道前壁膨出	ydqbpc/
阴道上皮内瘤样变	ydspnlyb/
阴道嗜血杆菌性阴道炎	ydsxgjxydy/
阴道腺癌	ydxa/
阴道腺病	ydxb/
阴道斜隔	ydxg/
阴道血管肉瘤	ydxgrl/
阴道血吸虫病	ydxxcb/
阴道异物	ydyw/
阴道转移性肿瘤	ydzyxzl/
阴道子宫内膜间质肉瘤	ydzgnmjzrl/
阴沟肠杆菌感染	ygcgjgr/
阴茎结核疹	yjjhz/
阴茎离断伤	yjlds/
阴茎扭转	yjnz/
阴茎前阴囊	yjqyn/
阴茎头包皮炎	yjtbpy/
阴囊癌	yna/
阴囊坏疽	ynhj/
阴囊损伤	ynss/
阴囊炎性癌	ynyxa/
银屑病关节炎性巩膜炎	yxbgjyxgmy/
银屑病甲	yxbj/
银屑病性关节炎	yxbxgjy/
隐匿型乳腺癌	ynxrxa/
隐匿型肾炎	ynxsy/
婴儿腹部远心性脂肪营养不良	yefbyxxzfyybl/
婴儿及儿童期癫痫及癫痫综合征	yejetqdxjdxzhz/
婴儿痉挛症	yejlz/
婴儿肉毒中毒综合征	yerdzdzhz/
婴儿纤维错构瘤	yexwcgl/
婴儿黑矇性痴呆	yehmxcd/
婴儿性骨皮质增生症	yexgpzzsz/
婴儿肢端脓疱病	yezdnpb/
婴儿肢端脓皮病	yezdnpb_8163/
婴儿指趾纤维瘤病	yezzxwlb/
婴幼儿胃食管反流	yyewsgfl/
婴幼儿型内斜视	yyexnxs/
鹦鹉热	ywr/
鹦鹉热衣原体肺炎	ywryytfy/
营养不良	yybl/
营养代谢疾病伴发的精神障碍	yydxjbbfdjsza/
营养代谢障碍疾病	yydxzajb/
硬化萎缩苔藓	yhwstx/
硬化型骨髓炎	yhxgsy/
硬化性骨髓炎	yhxgsy_8174/
硬化性脂肪肉芽肿	yhxzfryz/
硬脊膜外脓肿	yjmwnz/
硬脊膜下脓肿	yjmxnz/
硬脑膜动静脉畸形	ynmdjmjx/
硬脑膜下脓肿	ynmxnz/
硬皮症伴发的精神障碍	ypzbfdjsza/
油彩皮炎	ycpy/
油漆皮炎	yqpy/
油性肉芽肿	yxryz/
疣状皮肤结核	yzpfjh/
疣状血管瘤	yzxgl/
疣状肢端角化病	yzzdjhb/
游走脾	yzp/
游走性结节性脂膜炎	yzxjjxzmy/
右束支传导阻滞	yszcdzz/
右心房与下腔静脉平滑肌瘤	yxfyxqjmphjl/
幼淋巴细胞白血病	ylbxbbxb/
幼年黑素瘤	ynhsl/
幼年息肉	ynxr/
幼年型类天疱疮	ynxltpc/
幼年型粒-单核细胞白血病	ynxl_dhxbbxb/
幼年型慢性关节炎及其伴发的葡萄膜炎	ynxmxgjyjqbfdptmy/
幼年型慢性粒细胞白血病	ynxmxlxbbxb/
幼年型疱疹样皮炎	ynxpzypy/
幼年型皮肌炎	ynxpjy/
幼年性黄色肉芽肿	ynxhsryz/
幼年性透明纤维瘤病	ynxtmxwlb/
淤滞性皮下硬化症	yzxpxyhz/
淤滞性紫癜	yzxzd/
原发免疫性疾病相关的淋巴增殖性疾病	yfmyxjbxgdlbzzxjb/
原发气管支气管肿瘤	yfqgzqgzl/
原发性鼻腔淋巴瘤	yfxbqlbl/
原发性肠系膜肿瘤	yfxcxmzl/
原发性单克隆免疫球蛋白病	yfxdklmyqdbb/
原发性单克隆球蛋白病肾损害	yfxdklqdbbssh/
原发性腹膜癌	yfxfma/
原发性高血压	yfxgxy/
原发性高脂蛋白血症与黄瘤增生病	yfxgzdbxzyhlzsb/
原发性骨髓纤维化	yfxgsxwh/
原发性混合型冷球蛋白血症性血管炎	yfxhhxlqdbxzxxgy/
原发性急性闭角型青光眼	yfxjxbjxqgy/
原发性甲状腺恶性淋巴瘤	yfxjzxexlbl/
原发性巨球蛋白血症	yfxjqdbxz/
原发性巨球蛋白血症肾损害	yfxjqdbxzssh/
原发性卵巢绒癌	yfxlcra/
原发性慢性闭角型青光眼	yfxmxbjxqgy/
原发性皮肤滤泡中心细胞性淋巴瘤	yfxpflpzxxbxlbl/
原发性皮肤免疫细胞瘤	yfxpfmyxbl/
原发性脾淋巴瘤	yfxplbl/
原发性青少年型青光眼	yfxqsnxqgy/
原发性乳腺淋巴瘤	yfxrxlbl/
原发性腮腺淋巴瘤	yfxsxlbl/
原发性肾上腺皮质功能减退症	yfxssxpzgnjtz/
原发性渗出性淋巴瘤	yfxscxlbl/
原发性十二指肠恶性淋巴瘤	yfxsezcexlbl/
原发性食管恶性黑色素瘤	yfxsgexhssl/
原发性食管恶性淋巴瘤	yfxsgexlbl/
原发性痛经	yfxtj/
原发性系统性淀粉样变	yfxxtxdfyb/
原发性纤维蛋白溶解症	yfxxwdbrjz/
原发性限局性皮肤淀粉样变	yfxxjxpfdfyb/
原发性小肠溃疡	yfxxcky/
原发性小肠淋巴管扩张症	yfxxclbgkzz/
原发性心脏淋巴瘤	yfxxzlbl/
原发性婴幼儿型青光眼	yfxyyexqgy/
原发性中枢神经系统淋巴瘤	yfxzssjxtlbl/
圆形糠疹	yxkz/
远视	ys_8242/
月经性哮喘	yjxxc/
月经疹	yjz/
运动员胸背与腰背痛	ydyxbyybt/
运动障碍疾病	ydzajb/
甲流	jl_8247/
早期乳腺癌	zqrxa/
早期婴儿型癫痫性脑病	zqyexdxxnb/
早熟性儿童乳房肥大症	zsxetrffdz/
造影剂肾病	zyjsb/
噪声病	zsb/
增生性玻璃体视网膜病变	zsxbltswmbb/
增生性骨关节病	zsxggjb/
增生性毛根鞘瘤	zsxmgql/
增殖性红斑	zzxhb/
增殖性皮炎	zzxpy/
谵妄	zw/
掌侧化脓性腱鞘炎、滑囊炎和深间隙感染	zchnxjqy_hnyhsjxgr/
掌跖脓疱病	zznpb/
掌跖纤维瘤病	zzxwlb/
掌指骨结核	zzgjh/
蔗尘肺	zcf/
真菌过敏性哮喘	zjgmxxc/
真菌性关节炎	zjxgjy/
真菌性食管炎	zjxsgy/
枕骨下硬结性毛囊炎	zgxyjxmny/
枕颈关节损伤	zjgjss/
正常颅压脑积水	zclynjs/
正常眼压性青光眼	zcyyxqgy/
支气管肺隔离症	zqgfglz/
支气管源性囊肿	zqgyxnz/
支气管中心性肉芽肿病	zqgzxxryzb/
肢端肥大症	zdfdz/
肢端肥大症性心肌病	zdfdzxxjb/
肢端纤维角化瘤	zdxwjhl/
脂肪营养不良	zfyybl/
脂肉瘤	zrl/
脂性渐进性坏死	zxjjxhs/
脂溢性角化病	zyxjhb/
蜘蛛痣	zzz/
直接型颈动脉海绵窦瘘	zjxjdmhmdl/
职业性皮肤癌	zyxpfa/
职业性哮喘	zyxxc/
职业性硬皮病	zyxypb/
职业病	zyb/
跖管综合征	zgzhz_8287/
指甲-髌骨综合征	zj_bgzhz/
指节垫	zjd/
致肠细胞病变人孤儿病毒感染	zcxbbbrgebdgr/
致密性骨发育障碍	zmxgfyza/
致心律失常性右室心肌病	zxlscxysxjb/
痔	z/
中毒性白内障	zdxbnz/
中毒性高铁血红蛋白血症	zdxgtxhdbxz/
中毒性红斑	zdxhb/
中青年脑梗死	zqnngs/
中枢神经系统白血病	zssjxtbxb/
中枢神经系统肉芽肿性血管炎	zssjxtryzxxgy/
中枢神经细胞瘤	zssjxbl/
中性粒细胞增多症	zxlxbzdz/
中央晕轮状脉络膜萎缩	zyylzmlmws/
中叶综合征	zyzhz/
种痘并发症	zdbfz/
重链病	zlb/
重症联合免疫缺陷	zzlhmyqx/
重症院内获得性肺炎	zzynhdxfy/
舟骨骨折	zggz_8308/
肘内翻畸形	znfjx/
珠蛋白生成障碍性贫血	zdbsczaxpx/
珠蛋白生成障碍性贫血视网膜病变	zdbsczaxpxswmbb/
猪带绦虫病	zdtcb/
主动脉弓综合征视网膜病变	zdmgzhzswmbb/
转换性障碍	zhxza/
转移性肝癌	zyxga/
转移性骨肿瘤	zyxgzl/
转移性皮肤钙化病	zyxpfghb/
转移性小肠肿瘤	zyxxczl/
椎动脉型颈椎病	zdmxjzb/
椎管内结核瘤	zgnjhl/
椎管内转移性肿瘤	zgnzyxzl/
椎间盘钙化症	zjpghz/
椎间隙感染	zjxgr/
椎体爆裂骨折	ztblgz/
椎体严重楔形变并伴小关节半脱位	ztyzxxbbbxgjbtw/
锥虫病	zcb/
着色性干皮病	zsxgpb/
着色芽生菌病	zsysjb/
子宫恶性中胚叶混合瘤	zgexzpyhhl/
子宫颈平滑肌瘤	zgjphjl/
子宫颈肉瘤	zgjrl/
子宫内翻	zgnf/
子宫内膜结核	zgnmjh/
子宫内膜息肉	zgnmxr/
子宫内膜异位	zgnmyw/
子宫平滑肌肉瘤	zgphjrl/
紫癜性扁平苔藓	zdxbptx/
自发性脑室内出血	zfxnsncx/
自发性气胸	zfxqx/
自律性房性心动过速	zlxfxxdgs/
自然流产	zrlc/
自身红细胞过敏性紫癜	zshxbgmxzd/
自身免疫性甲状腺疾病相关肾病	zsmyxjzxjbxgsb/
自身免疫性胰腺炎	zsmyxyxy/
自身免疫性孕酮性皮炎	zsmyxytxpy/
自体敏感性湿疹	ztmgxsz/
纵隔非霍奇金恶性淋巴肿瘤	zgfhqjexlbzl/
纵隔非霍奇金淋巴瘤	zgfhqjlbl/
纵隔副神经节起源的肿瘤	zgfsjjqydzl/
纵隔霍奇金淋巴瘤	zghqjlbl/
纵隔畸胎瘤	zgjtl/
纵隔间叶源性肿瘤及其他肿瘤	zgjyyxzljqtzl/
纵隔囊肿	zgnz_8353/
纵隔囊肿及肿瘤	zgnzjzl/
纵隔疝	zgs_8355/
纵隔神经鞘源性肿瘤	zgsjqyxzl/
纵隔肿瘤	zgzl/
足穿通性损害	zctxsh/
足跟瘀斑	zgyb/
组织细胞吞噬性脂膜炎	zzxbtsxzmy/
组织细胞纤维瘤	zzxbxwl/
左后分支传导阻滞	zhfzcdzz/
左前分支传导阻滞	zqfzcdzz/
左束支传导阻滞	zszcdzz/
左束支中隔支传导阻滞	zszzgzcdzz/
左心室恶性施万瘤	zxsexswl/
坐骨神经盆腔出口狭窄症	zgsjpqckxzz/
坐骨神经损伤	zgsjss/
Alagille综合征	alagillezhz/
肩周炎	jzy/
白睛溢血	bjyx/
白痢	bl/
白膜侵睛	bmqj/
白秃疮	btc/
白屑风	bxf/
白淫	by/
胞痹	bb/
胞生痰核	bsth/
暴痢	bl_8388/
暴泻	bx_8389/
背痈	by_8390/
奔豚气	btq/
崩漏	bl_8392/
鼻疔	bd/
鼻鼽	bq/
闭经性头痛	bjxtt/
痹证	bz/
玻璃体疝	blts/
蚕豆病	cdb/
产后喘促	chcc/
产后风	chf/
产后痉症	chjz/
产后劳伤	chls/
产后目病	chmb/
产后三冲	chsc/
产后三急	chsj/
产后伤食	chss/
产后虚羸	chxl/
产后血虚热	chxxr/
产后血瘀	chxy/
产褥中暑	crzs/
颤证	cz/
肠风	cf/
肠结	cj/
肠郁	cy/
常染色体隐性遗传性脑动脉病伴白质脑病	crstyxycxndmbbbznb/
潮热	cr/
赤白游风	cbyf/
赤痢	cl_8418/
赤脉传睛	cmcj/
赤脉贯布	cmgb/
赤膜下垂	cmxc/
赤丝虬脉	csqm/
赤游丹	cyd/
虫臌	cg/
虫积	cj_8425/
虫证	cz_8426/
喘证	cz_8427/
疮疡	cy_8428/
大肠湿热	dcsr/
大头瘟	dtw/
带下病	dxb/
